 88    1.                         HSRASP1
 -7.00 1.02E+08  3780.0 6.318E+00 6.02E-04 5.39E-05 2.52E-11 0.0 8.E+04 0.0  0.0
 -6.91 9.47E+07  3795.0 1.394E+01 1.29E-03 1.13E-04 5.53E-11 0.0 8.E+04 0.0  0.0
 -6.74 8.88E+07  3820.0 2.636E+01 2.38E-03 2.03E-04 1.04E-10 0.0 8.E+04 0.0  0.0
 -6.50 8.40E+07  3840.0 4.414E+01 3.89E-03 3.24E-04 1.74E-10 0.0 8.E+04 0.0  0.0
 -6.21 7.97E+07  3880.0 6.994E+01 6.01E-03 4.88E-04 2.74E-10 0.0 8.E+04 0.0  0.0
 -5.91 7.58E+07  3920.0 1.060E+02 8.87E-03 7.02E-04 4.13E-10 0.0 8.E+04 0.0  0.0
 -5.60 7.20E+07  3955.0 1.587E+02 1.29E-02 9.97E-04 6.16E-10 0.0 8.E+04 0.0  0.0
 -5.31 6.85E+07  3985.0 2.298E+02 1.81E-02 1.37E-03 8.87E-10 0.0 8.E+04 0.0  0.0
 -5.05 6.54E+07  4010.0 3.185E+02 2.44E-02 1.80E-03 1.22E-09 0.0 8.E+04 0.0  0.0
 -4.83 6.27E+07  4035.0 4.225E+02 3.16E-02 2.28E-03 1.62E-09 0.0 8.E+04 0.0  0.0
 -4.65 6.06E+07  4055.0 5.257E+02 3.86E-02 2.74E-03 2.00E-09 0.0 8.E+04 0.0  0.0
 -4.50 5.88E+07  4080.0 6.339E+02 4.60E-02 3.19E-03 2.41E-09 0.0 8.E+04 0.0  0.0
 -4.35 5.72E+07  4132.0 7.478E+02 5.37E-02 3.66E-03 2.83E-09 0.0 8.E+04 0.0  0.0
 -4.20 5.57E+07  4155.0 8.725E+02 6.22E-02 4.15E-03 3.28E-09 0.0 8.E+04 0.0  0.0
 -4.06 5.43E+07  4175.0 1.007E+03 7.16E-02 4.66E-03 3.77E-09 0.0 8.E+04 0.0  0.0
 -3.92 5.29E+07  4190.0 1.163E+03 7.96E-02 6.04E-03 4.33E-09 0.0 8.E+04 0.0  0.0
 -3.79 5.15E+07  4205.0 1.340E+03 9.09E-02 6.72E-03 4.97E-09 0.0 8.E+04 0.0  0.0
