Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 26.48      1.03     1.03   664062     0.00     0.00  atom::freefree_op(double***, double***, double***, double)
 17.99      1.73     0.70   664062     0.00     0.00  atom::boundfree_op(double***, double)
 10.80      2.15     0.42 16222086     0.00     0.00  atom::damp_col(int, int, int, int, int, int, double, double, double)
  6.94      2.42     0.27   330624     0.00     0.00  atom::add(double***, double***, double***, double, double)
  5.40      2.63     0.21    47433     0.00     0.00  atmos_ppbez::formal(double***, double***, double***, double***, double, double)
  5.40      2.84     0.21   332031     0.00     0.00  atom::boundbound_op(double***, double***, double***, double***, double***, double)
  3.34      2.97     0.13 32493249     0.00     0.00  atom::get_pop(int, int, int, int, int)
  3.08      3.09     0.12   332031     0.00     0.00  atom::emissivity(double***, double***, double***, double***, double***, double, double, double)
  2.57      3.19     0.10 16222089     0.00     0.00  atom::broad_dop(double, double, double)
  2.44      3.29     0.10 145998774     0.00     0.00  bfcs::U(double)
  2.31      3.38     0.09   332031     0.00     0.00  atom::boundbound_em(double***, double***, double***, double***, double***, double)
  1.54      3.44     0.06 16222086     0.00     0.00  hybf::U(double)
  1.54      3.50     0.06  8111957     0.00     0.00  fvoigt(double, double)
  1.29      3.55     0.05  2277097     0.00     0.00  ft3dim(int, int, int, int, int, int)
  1.03      3.59     0.04  1328124     0.00     0.00  atom::add(double***, double***, int, int, int, int, int, int)
  1.03      3.63     0.04   655158     0.00     0.00  trav::dU(double, double, io_class&)
  1.03      3.67     0.04   241374     0.00     0.00  atom::ionfrc(double, double, double*&, double*&, int&)
  1.03      3.71     0.04    94866     0.00     0.00  h_minus_mol::freefree_op(double***, double***, double***, double)
  0.51      3.73     0.02 32486238     0.00     0.00  atmosphere::get_pop(int, int, int, int, int, int)
  0.51      3.75     0.02 32486236     0.00     0.00  atmol::fetch_population(int, int, int, int, int, int)
  0.51      3.77     0.02    47433     0.00     0.00  h_minus_mol::emissivity(double***, double***, double***, double***, double***, double, double, double)
  0.51      3.79     0.02     5586     0.00     0.00  svdcmp(double**, int, int, double*, double**)
  0.51      3.81     0.02     2394     0.00     0.00  atmosphere::chemeq(atmol**, int, double, double, double&, int, int, int)
  0.39      3.82     0.02                             bfcs::U(double*, int)
  0.26      3.83     0.01  1897319     0.00     0.00  atmosphere::add(double***, double***, int, int, int, int, int, int)
  0.26      3.84     0.01   656241     0.00     0.00  trav::U(double, double, io_class&)
  0.26      3.85     0.01   332031     0.00     0.00  atom::opacity(double***, double***, double***, double***, double***, double, double, double)
  0.26      3.86     0.01    94866     0.00     0.00  h_minus_mol::opacity(double***, double***, double***, double***, double***, double, double, double)
  0.26      3.87     0.01    47433     0.00     0.00  atmosphere::thomson_em(double***, double, int, int, int, int, int, int)
